403589_660_N,1016,"DISP_P5",1.2009,-172.8393,-57.1106,
403589_660_N,1026,"MANE_P1",704.7480,-272.8774,75.2993,
403589_660_N,1011,"MANE_P2",704.6210,-36.0875,76.6190,
403589_660_N,1024,"MANE_P3",706.3855,-36.1003,-65.2762,
403589_660_N,1023,"MANE_P4",766.5696,-156.1783,-82.9531,
403589_660_N,1025,"MANE_P5",706.5280,-273.0465,-63.0558,
403589_660_N,21059,"EYE_L|2_1",657.8768,-127.2373,204.3760,
403589_660_N,21055,"EYE_R|2_1",658.5035,-186.6399,204.2965,
403589_660_P,1005,"ABS2_P1",-269.3967,-505.7230,801.0046,
403589_660_P,1012,"ABS2_P2",-269.6465,598.8286,797.4065,
403589_660_P,1017,"ABS2_P3",-258.2394,617.8674,-135.3000,
403589_660_P,1001,"ABS2_P4",-258.1805,-482.5180,-134.2313,
403589_660_P,1007,"DISP_P1",1.2946,-173.6323,67.7261,
403589_660_P,1014,"DISP_P2",1.3891,173.3552,68.5241,
403589_660_P,1010,"DISP_P3",1.3261,172.5859,-56.6696,
403589_660_P,1002,"DISP_P4",1.2447,-10.3701,-61.8027,
403589_660_P,1008,"DISP_P5",1.1880,-172.8314,-57.1097,
403589_660_P,1026,"MANE_P1",704.8073,39.9960,74.8122,
403589_660_P,1024,"MANE_P2",704.6942,276.7842,76.1664,
403589_660_P,1029,"MANE_P3",706.4438,276.7973,-65.7057,
403589_660_P,1028,"MANE_P4",766.6150,156.7286,-83.4211,
403589_660_P,1025,"MANE_P5",706.5719,39.8544,-63.5430,
403589_660_P,21059,"EYE_L|2_1",657.9585,185.6129,203.9233,
403589_660_P,21055,"EYE_R|2_1",658.5817,126.2103,203.8318,
403589_770_C,1003,"DISP_P1",1.3017,-173.6468,67.7379,
403589_770_C,1013,"DISP_P2",1.3816,173.3668,68.5308,
403589_770_C,1016,"DISP_P3",1.3409,172.6055,-56.6734,
403589_770_C,1005,"DISP_P4",1.2296,-10.3742,-61.8108,
403589_770_C,1004,"DISP_P5",1.1889,-172.8441,-57.1162,
403589_770_C,1026,"MANE_P1",814.8574,-116.5431,76.3394,
403589_770_C,1020,"MANE_P2",814.7831,120.2503,77.7008,
403589_770_C,1022,"MANE_P3",816.4791,120.2548,-64.2058,
403589_770_C,1027,"MANE_P4",876.6299,0.1598,-81.9317,
